XPT,YPT,ZPT,Gold,Copper,Rock,NoSample
11,8,0,-999,-999,2,1
8,30,0,-999,-999,2,2
9,48,0,224.199997,-999,2,3
8,68,0,434.3999939,-999,2,4
9,90,0,412.1000061,-999,2,5
10,110,0,587.2000122,-999,2,6
9,129,0,192.3000031,-999,2,7
11,150,0,31.29999924,-999,2,8
10,170,0,388.5,-999,2,9
8,188,0,174.6000061,-999,2,10
9,209,0,187.8000031,-999,2,11
10,231,0,82.09999847,-999,1,12
11,250,0,81.09999847,-999,1,13
10,269,0,124.3000031,-999,2,14
8,288,0,188,-999,2,15
31,11,0,28.70000076,-999,2,16
29,29,0,78.09999847,-999,2,17
28,51,0,292.1000061,-999,2,18
31,68,0,895.2000122,-999,2,19
28,88,0,702.5999756,-999,2,20
30,110,0,490.2999878,-999,2,21
28,130,0,136.1000061,-999,2,22
28,150,0,335,-999,2,23
30,171,0,277,-999,2,24
28,190,0,206.1000061,-999,2,25
31,209,0,24.5,-999,2,26
28,229,0,198.1000061,-999,2,27
30,250,0,60.29999924,-999,2,28
31,269,0,312.6000061,-999,2,29
31,289,0,240.8999939,-999,2,30
49,11,0,653.2999878,-999,2,31
49,29,0,96.40000153,-999,2,32
51,48,0,105,-999,2,33
49,68,0,37.79999924,-999,2,34
50,88,0,820.7999878,-999,2,35
51,109,0,450.7000122,-999,2,36
48,129,0,190.3999939,-999,2,37
49,151,0,773.2999878,-999,2,38
51,168,0,971.9000244,-999,2,39
48,190,0,762.4000244,-999,2,40
50,211,0,968.2999878,-999,2,41
49,231,0,394.7000122,-999,2,42
51,250,0,343,-999,2,43
50,268,0,863.7999878,-999,2,44
51,290,0,159.6000061,-999,1,45
71,9,0,445.7999878,-999,2,46
71,29,0,673.2999878,-999,2,47
70,51,0,252.6000061,-999,2,48
68,70,0,537.5,-999,2,49
69,90,0,-999,-999,2,50
68,110,0,329.1000061,-999,2,51
68,128,0,646.2999878,-999,2,52
69,148,0,616.2000122,-999,2,53
69,169,0,761.2999878,-999,2,54
70,191,0,918,-999,2,55
69,208,0,97.40000153,-999,1,56
69,229,0,-999,-999,1,57
68,250,0,-999,-999,1,58
71,268,0,-999,-999,1,59
71,288,0,2.4000001,-999,1,60
91,11,0,368.2999878,-999,2,61
91,29,0,91.59999847,-999,2,62
90,49,0,654.7000122,-999,2,63
91,68,0,645.5,-999,2,64
91,91,0,907.2000122,-999,2,65
91,111,0,826.2999878,-999,2,66
89,130,0,975.2999878,-999,2,67
88,149,0,551.0999756,-999,2,68
89,170,0,155.5,-999,1,69
89,188,0,10.69999981,-999,1,70
90,211,0,-999,-999,1,71
90,230,0,-999,-999,1,72
88,249,0,-999,-999,1,73
88,269,0,12.10000038,-999,1,74
88,288,0,62.20000076,-999,1,75
109,11,0,399.6000061,-999,2,76
111,31,0,176.6000061,-999,2,77
108,49,0,402,-999,2,78
109,68,0,260.6000061,-999,2,79
108,88,0,192,-999,2,80
110,109,0,237.6000061,-999,2,81
109,129,0,702,-999,2,82
110,148,0,38.5,-999,2,83
111,169,0,22.10000038,-999,1,84
111,191,0,2.70000005,-999,1,85
110,208,0,17.89999962,-999,1,86
109,230,0,174.199997,-999,2,87
109,249,0,12.89999962,-999,2,88
109,268,0,187.8000031,-999,2,89
111,291,0,268.7999878,-999,2,90
130,9,0,572.5,-999,2,91
131,31,0,29.10000038,-999,2,92
130,48,0,75.19999695,-999,2,93
128,70,0,399.8999939,-999,2,94
129,90,0,243.1000061,-999,2,95
131,109,0,-999,-999,2,96
129,128,0,244.699997,-999,2,97
131,148,0,185.199997,-999,2,98
131,169,0,26,-999,1,99
129,191,0,-999,-999,1,100
128,209,0,100.3000031,-999,1,101
130,231,0,530.2999878,-999,2,102
131,248,0,107.4000015,-999,2,103
128,269,0,159.3000031,-999,2,104
131,288,0,70.69999695,-999,2,105
148,8,0,260.2000122,-999,2,106
149,29,0,326,-999,2,107
150,49,0,332.7000122,-999,2,108
151,69,0,531.2999878,-999,2,109
150,89,0,547.2000122,-999,2,110
150,109,0,482.7000122,-999,2,111
150,129,0,84.09999847,-999,2,112
150,151,0,4.69999981,-999,2,113
149,169,0,180.6000061,-999,2,114
151,190,0,-999,-999,1,115
148,208,0,342.3999939,-999,2,116
150,228,0,602.2999878,-999,2,117
149,251,0,209.1000061,-999,2,118
149,271,0,79.40000153,-999,2,119
148,291,0,104.0999985,-999,2,120
168,8,0,446,-999,2,121
171,29,0,189.8999939,-999,2,122
169,49,0,280.3999939,-999,2,123
168,69,0,-999,-999,1,124
168,91,0,499.2999878,-999,2,125
171,109,0,457.2999878,-999,2,126
168,131,0,341.2000122,-999,2,127
171,150,0,-999,-999,2,128
171,171,0,208.3000031,-999,2,129
169,191,0,99.69999695,-999,1,130
170,210,0,636.5999756,-999,2,131
170,230,0,173.1000061,-999,2,132
169,249,0,17,-999,2,133
168,271,0,283.1000061,-999,2,134
168,290,0,30.89999962,-999,1,135
190,11,0,348.5,-999,2,136
191,28,0,222.3999939,-999,2,137
191,48,0,59.09999847,-999,2,138
190,69,0,-999,-999,1,139
190,89,0,326,-999,2,140
188,111,0,325.1000061,-999,2,141
191,129,0,114.699997,-999,2,142
189,149,0,481.6000061,-999,2,143
190,169,0,324.1000061,-999,2,144
190,189,0,10.89999962,-999,1,145
188,210,0,332.8999939,-999,2,146
191,231,0,184.3999939,-999,2,147
190,248,0,146.6000061,-999,2,148
189,270,0,92,-999,1,149
189,290,0,2.5,-999,1,150
211,11,0,358.1000061,-999,2,151
209,30,0,473.2999878,-999,2,152
211,49,0,308.7999878,-999,2,153
210,70,0,406.7999878,-999,2,154
209,90,0,812.0999756,-999,2,155
210,111,0,339.7000122,-999,2,156
211,130,0,223.8999939,-999,2,157
208,151,0,673.5,-999,2,158
209,168,0,141,-999,2,159
208,191,0,61.79999924,-999,1,160
210,211,0,258.2999878,-999,2,161
211,228,0,590.2999878,-999,2,162
211,250,0,166.8999939,-999,2,163
208,268,0,125.199997,-999,2,164
208,289,0,29.29999924,-999,1,165
231,10,0,617.5999756,-999,2,166
231,28,0,425.8999939,-999,2,167
230,50,0,295.7000122,-999,2,168
230,71,0,224.8999939,-999,2,169
229,91,0,31.70000076,-999,1,170
229,110,0,377.3999939,-999,2,171
230,131,0,333.2999878,-999,2,172
228,148,0,351,-999,2,173
229,169,0,-999,-999,1,174
231,191,0,137.6000061,-999,2,175
231,208,0,451.2000122,-999,2,176
229,228,0,639.5,-999,2,177
231,249,0,119.9000015,-999,2,178
231,268,0,27.20000076,-999,1,179
230,291,0,2.0999999,-999,1,180
249,9,0,167.699997,-999,2,181
250,30,0,147.8000031,-999,2,182
249,48,0,442.7000122,-999,2,183
251,69,0,487.7000122,-999,2,184
251,91,0,-999,-999,1,185
248,109,0,28.20000076,-999,1,186
249,130,0,-999,-999,1,187
248,150,0,18.29999924,-999,1,188
250,169,0,266.2999878,-999,2,189
250,190,0,502.2999878,-999,2,190
251,208,0,-999,-999,2,191
251,229,0,240.8999939,-999,2,192
249,251,0,234.3999939,-999,2,193
248,270,0,22.39999962,-999,1,194
250,291,0,45.59999847,-999,1,195
40,71,0,76.19999695,1.10000002,2,196
21,69,0,284.2999878,7.80000019,2,197
28,80,0,606.7999878,105.3000031,2,198
29,59,0,772.7000122,1512.699951,2,199
41,81,0,269.5,9.80000019,2,200
18,80,0,1036.699951,860.4000244,2,201
39,60,0,783.7999878,1207.300049,2,202
18,60,0,519.4000244,177.1000061,2,203
41,90,0,414.0899963,23.39999962,2,204
21,90,0,601.4000244,173.1000061,2,205
31,101,0,579.2000122,296.5,2,206
41,100,0,601.4000244,300.6000061,2,207
21,100,0,594.5999756,229.699997,2,208
60,8,0,550.0999756,258.2999878,2,209
40,11,0,99.40000153,2.20000005,2,210
51,18,0,233.6000061,14.19999981,2,211
59,20,0,14.39999962,0.1,2,212
41,21,0,115.9000015,3.0999999,2,213
59,90,0,506.2000122,126.9000015,2,214
51,101,0,502.3999939,73.80000305,2,215
50,81,0,608,210.699997,2,216
59,101,0,363.8999939,30.39999962,2,217
60,81,0,385.6000061,50.29999924,2,218
60,151,0,1521.099976,3691.800049,2,219
38,148,0,340.8999939,50,2,220
50,160,0,879.0999756,474.2000122,2,221
50,138,0,413.3999939,83,2,222
61,158,0,868.9000244,983.7999878,2,223
39,160,0,657.4000244,217.8000031,2,224
61,139,0,477,71.5,2,225
38,140,0,268.5,26.20000076,2,226
61,170,0,806.4000244,301.1000061,2,227
39,170,0,914.4000244,1548.5,2,228
49,179,0,811.5,234.8999939,2,229
58,179,0,1113.599976,2154.699951,2,230
39,181,0,1008,3637.399902,2,231
60,191,0,1528.099976,1930.900024,2,232
40,190,0,970.9000244,1391.099976,2,233
51,198,0,1109,1660.800049,2,234
60,198,0,1203.900024,1813.699951,2,235
40,200,0,641.2999878,249.1000061,2,236
58,208,0,720.5999756,1160.099976,2,237
38,209,0,665.2999878,547.7999878,2,238
50,221,0,543.2999878,1066.599976,2,239
61,220,0,101.0999985,595.5,1,240
39,221,0,615.9000244,420.8999939,2,241
59,268,0,543.0999756,1714.199951,2,242
41,271,0,868.7999878,828.7000122,2,243
49,278,0,583,1788.800049,2,244
51,260,0,670.7000122,3738.899902,2,245
59,281,0,148.8000031,675,1,246
39,279,0,798,1182.099976,2,247
59,258,0,194.8999939,983.2999878,1,248
38,260,0,635.2000122,766.5999756,2,249
78,28,0,781.5999756,565.4000244,2,250
60,29,0,238.6000061,12.69999981,2,251
70,41,0,472,84.80000305,2,252
70,21,0,58.09999847,0.30000001,2,253
78,41,0,600.2999878,124.5999985,2,254
61,41,0,64.90000153,0.80000001,2,255
78,20,0,505.8999939,70,2,256
80,131,0,801.5999756,421.1000061,2,257
58,128,0,158.8000031,4.30000019,2,258
71,140,0,606.2999878,175.1000061,2,259
70,121,0,30.70000076,-999,2,260
79,138,0,730.0999756,1694.5,2,261
80,119,0,421.2000122,35.09999847,2,262
61,121,0,104.8000031,1.79999995,2,263
79,149,0,44.09999847,-999,2,264
71,160,0,801.0999756,2535,2,265
78,159,0,742,3371.5,2,266
80,168,0,689.0999756,634.5999756,2,267
69,181,0,424.6000061,762.5999756,2,268
79,181,0,184.3000031,241.699997,2,269
80,188,0,245.199997,431.1000061,2,270
70,198,0,630,1992.099976,2,271
81,200,0,-999,-999,1,272
100,48,0,48.70000076,-999,2,273
80,49,0,757.4000244,473.7999878,2,274
90,58,0,739.7999878,280.2000122,2,275
88,39,0,520.7000122,76.80000305,2,276
100,60,0,-999,-999,2,277
80,59,0,-999,-999,2,278
101,38,0,730.5,464,2,279
101,68,0,383.1000061,97.80000305,2,280
79,70,0,508.7999878,103.9000015,2,281
90,79,0,573.2999878,138.3000031,2,282
100,78,0,372.3999939,70.90000153,2,283
81,81,0,585.7999878,197.199997,2,284
100,91,0,397.2000122,38.90000153,2,285
80,89,0,614.5,192.3000031,2,286
91,99,0,734.9000244,159.6000061,2,287
101,100,0,599.2999878,539.2999878,2,288
81,98,0,181.199997,1.29999995,2,289
98,111,0,744.7999878,1987,2,290
81,108,0,1022.299988,643,2,291
90,120,0,899.2999878,1290.300049,2,292
100,118,0,363.7000122,20.5,2,293
98,130,0,513.2000122,263.8999939,2,294
90,140,0,648.7999878,2147.5,2,295
99,138,0,645.4000244,1927.099976,2,296
121,131,0,13,0.2,2,297
111,140,0,190.3000031,48.79999924,2,298
108,121,0,893,3070.899902,2,299
120,141,0,104.699997,14.60000038,2,300
119,118,0,150.3999939,16.89999962,2,301
158,228,0,558.4000244,551.5999756,2,302
140,229,0,558,513.9000244,2,303
150,241,0,318.5,129.199997,2,304
151,218,0,394.2999878,239.199997,2,305
161,241,0,141.8999939,8.60000038,2,306
141,240,0,112.5,4.5999999,2,307
160,218,0,580.4000244,1118.699951,2,308
139,220,0,535.9000244,445.7000122,2,309
178,211,0,398.2000122,561.7999878,2,310
159,209,0,517.2999878,1480.800049,2,311
169,221,0,427.2000122,197.199997,2,312
170,198,0,367.6000061,1429.800049,2,313
180,218,0,374.7000122,77.5,2,314
178,201,0,144.8000031,81.30000305,2,315
158,198,0,169.8000031,154.5,2,316
219,88,0,235.1000061,136.8999939,2,317
198,90,0,611.7000122,735.7999878,2,318
211,100,0,746.4000244,710.5999756,2,319
208,80,0,436.6000061,495.7999878,2,320
221,99,0,540.9000244,586.7999878,2,321
199,98,0,801,1419,2,322
220,81,0,272.1000061,177.3000031,2,323
198,78,0,204.1000061,86,2,324
220,150,0,543.9000244,675,2,325
200,150,0,606.2000122,381.1000061,2,326
208,159,0,356,280.3999939,2,327
210,140,0,440.8999939,330.2999878,2,328
221,160,0,301.7999878,365.6000061,2,329
198,161,0,369.3999939,154.5,2,330
219,139,0,166.8000031,24.5,2,331
200,139,0,230.8999939,42.20000076,2,332
239,8,0,240.3000031,80.19999695,2,333
218,8,0,737.0999756,1373.400024,2,334
229,19,0,518.5999756,147.699997,2,335
239,18,0,390.7000122,186.699997,2,336
218,18,0,797.4000244,1429.699951,2,337
238,229,0,602.5999756,1510.900024,2,338
218,228,0,430.7999878,262.5,2,339
231,239,0,354.1000061,478,2,340
230,221,0,602.4000244,538.9000244,2,341
240,239,0,172.6000061,51.90000153,2,342
221,241,0,324.7999878,290.8999939,2,343
239,220,0,420.1000061,398.2999878,2,344
218,218,0,763.5,1236.699951,2,345
35,71,0,687.7999878,486.7999878,2,346
24,71,0,735.7999878,463.8999939,2,347
34,88,0,86.90000153,0.1,2,348
23,91,0,817,708.7999878,2,349
54,10,0,637.9000244,349.3999939,2,350
46,11,0,512.2999878,392,2,351
55,89,0,423.3999939,21.20000076,2,352
45,89,0,569.5999756,62.79999924,2,353
53,150,0,858,873,2,354
46,148,0,234,7.5,2,355
55,168,0,876,288.1000061,2,356
43,170,0,1082.800049,1174.900024,2,357
55,191,0,1392.599976,1004.700012,2,358
44,191,0,646.5999756,76.80000305,2,359
55,211,0,889.7000122,938.7999878,2,360
46,211,0,509.2000122,429.7000122,2,361
54,269,0,613.0999756,2922.399902,2,362
43,271,0,767.7999878,198.1000061,2,363
73,29,0,649.4000244,231.699997,2,364
64,31,0,235.3999939,10.80000019,2,365
75,129,0,782.7999878,639.2999878,2,366
64,129,0,227.3000031,8.60000038,2,367
73,149,0,722.9000244,696.0999756,2,368
64,151,0,974.5,664.0999756,2,369
75,171,0,512.2000122,144.8000031,2,370
63,168,0,1215.800049,1446.099976,2,371
73,188,0,687.0999756,2351.5,2,372
64,191,0,1259.900024,1257.599976,2,373
93,48,0,684.5,373.2000122,2,374
86,48,0,471.8999939,31.79999924,2,375
93,70,0,512.0999756,196.1000061,2,376
84,69,0,963.9000244,1210,2,377
93,90,0,874,1031.300049,2,378
86,89,0,582.4000244,117,2,379
96,111,0,553.2000122,360.5,2,380
85,108,0,937.2999878,1495.5,2,381
93,131,0,883.5999756,1336.800049,2,382
86,131,0,879,965.2999878,2,383
114,131,0,268.3999939,104.4000015,2,384
106,130,0,651.5,1957.699951,2,385
155,229,0,386.3999939,88.19999695,2,386
145,230,0,333.2000122,63.5,2,387
174,208,0,339.2000122,335,2,388
166,211,0,600.2999878,647.5999756,2,389
215,89,0,595.2000122,1457,2,390
205,89,0,809.5999756,955.7999878,2,391
215,148,0,293.2999878,67.69999695,2,392
204,151,0,697.2999878,444.5,2,393
236,9,0,515.9000244,1593.800049,2,394
223,9,0,613.2000122,277.6000061,2,395
236,229,0,665.2999878,1962,2,396
226,230,0,813.5999756,2279.800049,2,397
35,80,0,174.8000031,2,2,398
24,79,0,891.7999878,635.7000122,2,399
36,61,0,699.5999756,1547.800049,2,400
26,58,0,39.5,0.30000001,2,401
16,80,0,915.5999756,634.7999878,2,402
43,60,0,584,97.40000153,2,403
15,88,0,610,319.2999878,2,404
46,99,0,566.7999878,100.199997,2,405
36,99,0,38.09999847,-999,2,406
54,80,0,483,105,2,407
46,81,0,542.5999756,138.6000061,2,408
54,161,0,959.2999878,466.7000122,2,409
43,161,0,631.9000244,261.1000061,2,410
65,160,0,928.2999878,2252.5,2,411
33,160,0,431,48.59999847,2,412
36,170,0,672.2999878,605.5,2,413
53,179,0,1003.400024,425.3999939,2,414
44,180,0,876.4000244,937.7999878,2,415
65,181,0,734.0999756,589.2999878,2,416
34,180,0,366,110.199997,2,417
33,191,0,296.5,79.09999847,2,418
55,199,0,1069.199951,376.3999939,2,419
46,198,0,804.2999878,674.5999756,2,420
63,201,0,731.0999756,1363.300049,2,421
34,201,0,318.1000061,79.59999847,2,422
65,210,0,238.6000061,488.2999878,2,423
35,208,0,428.8999939,161.199997,2,424
46,220,0,737.4000244,1236.099976,2,425
36,219,0,429.1000061,152.3000031,2,426
35,271,0,597.4000244,397,2,427
53,258,0,442.6000061,1696.400024,2,428
46,260,0,765.2000122,779.7999878,2,429
45,281,0,605.5,934.7999878,2,430
35,278,0,795.9000244,1588.300049,2,431
35,259,0,235,18.89999962,2,432
84,30,0,562,85.30000305,2,433
84,41,0,411.3999939,34,2,434
75,40,0,696.7000122,356.2000122,2,435
73,141,0,790.9000244,607.2999878,2,436
63,140,0,696.5,357.7999878,2,437
84,138,0,687.2999878,893.4000244,2,438
76,159,0,597.5,997.2999878,2,439
84,161,0,437.3999939,387.2000122,2,440
86,169,0,317.3999939,761.7000122,2,441
73,199,0,470.7000122,5190.100098,2,442
76,51,0,498.7000122,101.8000031,2,443
94,61,0,778.7000122,1354,2,444
85,60,0,523.2999878,117.5,2,445
104,38,0,617.0999756,200.199997,2,446
93,41,0,395.2999878,28.39999962,2,447
75,90,0,518.9000244,113,2,448
94,101,0,383.7000122,12.89999962,2,449
85,100,0,704.0999756,126,2,450
104,109,0,562.2999878,908.5999756,2,451
75,110,0,655.2999878,349,2,452
95,121,0,823.5999756,548.4000244,2,453
83,119,0,847.7000122,701.4000244,2,454
94,140,0,607.5,723.2000122,2,455
103,139,0,491.2000122,565.2999878,2,456
114,120,0,319.5,154.199997,2,457
104,118,0,594,289.2000122,2,458
196,91,0,433.5,254.1000061,2,459
215,101,0,209.6000061,4,2,460
204,101,0,533.7999878,127.3000031,2,461
196,101,0,592.4000244,419.1000061,2,462
195,149,0,478.7000122,141.8999939,2,463
216,11,0,660.2000122,1424.800049,2,464
225,19,0,832.2000122,512.2000122,2,465
214,19,0,242.5,15.60000038,2,466
245,231,0,161.199997,26.10000038,2,467
233,220,0,626,959.7000122,2,468
226,221,0,800.0999756,1681.5,2,469
213,218,0,482.6000061,476.2000122,2,470
